id,name,link
6VggrzdgZOeSewg5434Hke,Top US Singles: 2004,https://open.spotify.com/playlist/6VggrzdgZOeSewg5434Hke
7x3va4SFLPBD2SQp2QgPwm,Top US Singles: 2005,https://open.spotify.com/playlist/7x3va4SFLPBD2SQp2QgPwm
3udFvnYXA7GjB6gzVIPsSz,Top US Singles: 2006,https://open.spotify.com/playlist/3udFvnYXA7GjB6gzVIPsSz
3zHv5hButKQKMspOAO3UbK,Top US Singles: 2007,https://open.spotify.com/playlist/3zHv5hButKQKMspOAO3UbK
2GeKoFMUJaXPC6FdiKfX6c,Top US Singles: 2008,https://open.spotify.com/playlist/2GeKoFMUJaXPC6FdiKfX6c
6eclyh8o9knrxrQ0LQH0og,Top US Singles: 2009,https://open.spotify.com/playlist/6eclyh8o9knrxrQ0LQH0og
6BW6bAcVc2eL0D4NzPI5Xi,Top US Singles: 2010,https://open.spotify.com/playlist/6BW6bAcVc2eL0D4NzPI5Xi
2jfpTRxNLuDZchu69m3YxX,Top US Singles: 2011,https://open.spotify.com/playlist/2jfpTRxNLuDZchu69m3YxX
4Oj3OeRtsVsZETwOVBkbvT,Top US Singles: 2012,https://open.spotify.com/playlist/4Oj3OeRtsVsZETwOVBkbvT
0iy94Jgxuf9DCCsuRVoC4M,Top US Singles: 2013,https://open.spotify.com/playlist/0iy94Jgxuf9DCCsuRVoC4M
6F7Go5ERjL0FmIUxZGfMnw,Top US Singles: 2014,https://open.spotify.com/playlist/6F7Go5ERjL0FmIUxZGfMnw
5S4DbcnYxUKxn9bNkWGsLI,Top US Singles: 2015,https://open.spotify.com/playlist/5S4DbcnYxUKxn9bNkWGsLI
0RBYc8BdERkAPIuWnpYhDd,Top US Singles: 2016,https://open.spotify.com/playlist/0RBYc8BdERkAPIuWnpYhDd
0MqKEB4yXmKnov3Qoqi8dD,Top US Singles: 2017,https://open.spotify.com/playlist/0MqKEB4yXmKnov3Qoqi8dD
26bfVR2s2iW35bnFWrSdWh,Top US Singles: 2018,https://open.spotify.com/playlist/26bfVR2s2iW35bnFWrSdWh
2Zir5sbzTYteOb7ZYS0kAH,Top US Singles: 2019,https://open.spotify.com/playlist/2Zir5sbzTYteOb7ZYS0kAH
4LoiC9qxfsuhACcMYBT1u0,Top US Singles: 2020,https://open.spotify.com/playlist/4LoiC9qxfsuhACcMYBT1u0
3oeSwk4UzDjrqS3xXS2C4i,Top US Singles: 2021,https://open.spotify.com/playlist/3oeSwk4UzDjrqS3xXS2C4i
53Dm7cWLuIctjzBGKX7oOK,Top US Singles: 2022,https://open.spotify.com/playlist/53Dm7cWLuIctjzBGKX7oOK
4YscQWYZ1nUGXaUws9A9nx,Top US Singles: 1958-1959,https://open.spotify.com/playlist/4YscQWYZ1nUGXaUws9A9nx
3S2LmFzHUw3UoIJiEsGJun,Top US Singles: 1959-1960,https://open.spotify.com/playlist/3S2LmFzHUw3UoIJiEsGJun
3I8i6VdemlU8mG9etZTao7,Top US Singles: 1960-1961,https://open.spotify.com/playlist/3I8i6VdemlU8mG9etZTao7
6XhMYc7GjsGzGeOKpz25Iq,Top US Singles: 1961-1962,https://open.spotify.com/playlist/6XhMYc7GjsGzGeOKpz25Iq
6meQjyCsfxLkecaZ09l1AS,Top US Singles: 1962-1963,https://open.spotify.com/playlist/6meQjyCsfxLkecaZ09l1AS
0uvIr25udIuCcDDa7E09IL,Top US Singles: 1963-1964,https://open.spotify.com/playlist/0uvIr25udIuCcDDa7E09IL
19Mv7Cl03dIUn6ghptYlbr,Top US Singles: 1964-1965,https://open.spotify.com/playlist/19Mv7Cl03dIUn6ghptYlbr
72kf8qLnTYVZFaasXeULYD,Top US Singles: 1965-1966,https://open.spotify.com/playlist/72kf8qLnTYVZFaasXeULYD
62dHM3pE4yaaO6MqBjhxD8,Top US Singles: 1966-1967,https://open.spotify.com/playlist/62dHM3pE4yaaO6MqBjhxD8
0mA3fvDPDLVN4dC1FHBnAm,Top US Singles: 1967-1968,https://open.spotify.com/playlist/0mA3fvDPDLVN4dC1FHBnAm
4IxcOacbewty2geINgLvJ3,Top US Singles: 1968-1969,https://open.spotify.com/playlist/4IxcOacbewty2geINgLvJ3
7Jo0bQwCQYndZCuQp694NI,Top US Singles: 1969-1970,https://open.spotify.com/playlist/7Jo0bQwCQYndZCuQp694NI
5DPyGYGB5r7bDaz31naUmo,Top US Singles: 1970-1971,https://open.spotify.com/playlist/5DPyGYGB5r7bDaz31naUmo
2cxW5jZmFrEBv5ududizDI,Top US Singles: 1971-1972,https://open.spotify.com/playlist/2cxW5jZmFrEBv5ududizDI
5XYubwCZNC0OM4VcQJkCWC,Top US Singles: 1972-1973,https://open.spotify.com/playlist/5XYubwCZNC0OM4VcQJkCWC
23kZj2lQXCeiMse3N6du6g,Top US Singles: 1973-1974,https://open.spotify.com/playlist/23kZj2lQXCeiMse3N6du6g
1psaCBRierdK8X9oN3USNm,Top US Singles: 1974-1975,https://open.spotify.com/playlist/1psaCBRierdK8X9oN3USNm
356eEFRFPInZbyw0ek8jTZ,Top US Singles: 1975-1976,https://open.spotify.com/playlist/356eEFRFPInZbyw0ek8jTZ
566UjM2VL5R4B6VXzgnjYW,Top US Singles: 1976-1977,https://open.spotify.com/playlist/566UjM2VL5R4B6VXzgnjYW
4HqB8Lfxl8Klc9R3RjzsrT,Top US Singles: 1977-1978,https://open.spotify.com/playlist/4HqB8Lfxl8Klc9R3RjzsrT
31A7CPx5kZ37wzUOnmj7Se,Top US Singles: 1978-1979,https://open.spotify.com/playlist/31A7CPx5kZ37wzUOnmj7Se
3BdymoPqYwmOwDvqLPV2OP,Top US Singles: 1979-1980,https://open.spotify.com/playlist/3BdymoPqYwmOwDvqLPV2OP
6V0n4y8bxe8VpwpRA7Or9L,Top US Singles: 1980-1981,https://open.spotify.com/playlist/6V0n4y8bxe8VpwpRA7Or9L
2YdETlf2njL9ge17L3m6pB,Top US Singles: 1981-1982,https://open.spotify.com/playlist/2YdETlf2njL9ge17L3m6pB
